hantuzun                                ,"{alpercem70,altugkarakurt,SafaOzturk,oguzbilgener,TTKunt,ozymaxx,hasancc,nazliozge,joglea,pekermert,Erolstt,denizonural,cagdass,oguzhanunlu,yutarochan,mertkavi,kadircet,aligoren,esrefozturk,nayang,emcenrue,kenziearcher,jwyterlin,failedxyz,MuhammadAhsanRehman,hjjblazeit,mzupan,VKTers,ericrrichards,darwin,halilozercan,muhammedemincs,alierdogan7,myozka,kaaninan,jeromecc,backendeveloper,ustun,zubairq,krmbzds,frankscholten,bitcoinhaber,OguzhanE,brunocasanova,darkhood,cusspvz,userimack,yigitsever,bufferhe4d,guinnessonur,demirb,maverich,angusshire,baraaorabi,abuyukcakir,shandanjay,Rob-MFn-Fletcher,hwclass,yasin4595,guemues,selinfildis,zalsader,firatozbay,madhav-datt,lacunadream,alma4rebi,AdiChat,fly51fly,bkakilli,rashiq,besirkurtulmus,mrsfy,Khrotan,edcx,kjk,hakansel05,berkaay,yuuki1224,buremba,aliatli,poojawins,bhollan,paulsuen,thellimist,lorthos,BFush,Twaambo,nightlord,alparslancelik,huseyinozkilic}","{queso,technomancy,djspiewak,michaelklishin,flyingmachine,mmcgrana,stuarthalloway,holman,jballanc,darwin,weavejester,paulp,fogus,azer,swannodette,trptcolin,rntz,sickill,dakrone,aria42,richhickey,leonardoborges,cemhurturk,muhuk,pkrumins,wolverian,jdoliner,orta,holdenk,otfrom,ibdknox,levand,vy,mvid,buremba,vigo,ustun,justinsb,burnflare,pesterhazy,bdaylik,osener,ceki,shaunlebron,neonichu,kennethreitz,runarorama,shivaram,jdegoes,csenol,puredanger,f,alperv,tonymorris,pif,mikera,oakes,mateiz,mbostock,eduardoejp,yigitbey,jr0cket,lbradstreet,fedo,douglascrockford,magnars,troyhunt,pixelastic,tonsky,frenchy64,selimober,rxin,grahamjenson,bugra,sw1nn,bgedik,RussellSpitzer,agaoglu,fehmicansaglam,raygit,osa1,YigitDemirag,flowlo,WalterBright,malgorithms,hakimel,sryza,MasDennis,lorthos,vedit,dashersw,fhr,kaihendry,msimav,ferhatsb,mustafaakin,koraykv,srowen,mengxr,kubudi,kadircet}","{HTML,JavaScript,CSS,""Emacs Lisp"",C,Ruby,Python,TeX,Scala,Clojure,Shell,None,R,Java}",
derekmolloy                             ,"{rohitk-singh,RakshakTalwar,luciocorrea,lazychino,sagarcold,jadkins67,kylefitch,KaanErkol,aleest,phearus,anujdeshpande,andyparkins,baalexander,amcclosky,LiangZhang0924,petebachant,fpoussin,jhalbrecht,bewest,paulosoares,bubalazi,MauroJr,happydeveloper,dragonlinux,terzano,jomonjohnn,nettingm,wahihi,nckturner,lelandg,yasiranis,pittzheng,aldajo92,thomasrepetti,birkiro,damnemo,necktwi,ched83,techniq,cagdasc,csmohn,mnetti,rmbowen,ahmetuludag,puckey,srdonelan,nevercast,yigityuce,freezeeedos,daviddoran,tnishimura,hagemt,estock,financeCoding,supreethcr,aminert,FelixYang,ksk1980,hzeller,learningendless,jawid880,nicolaspanel,Alegzandra,georgedlu,jpratt3000,JerinGeorge,COBECTb,888john,plathara,abdullahyildiz,ryan-sandy,bzyx,piyushpandey013,laraque,belucha,halmanso,Bingzo,AlexEne,MDAdrian,spechter,oli4gate,siko,pepe8086,rkarthikreddy,vivekn91,johnwhammer,freddy120,HSOFEUP,khaledkbadr,tverrbjelke,zhanglongqi,foz3r,SafaOzturk,livetest,JuanGarciaR,duskCoder,condorxan,eigendreams,fmannan,johnniesmith,cobraranu}",{RobertCNelson},"{None,C,C++,Java}",
maverich                                ,"{TheMSK61,erenmycode,Kafaraqgatri,karamusluk,bengokhann,ysfpsa,Bedircan,bilaltasdelen,begozcan,ibrahimkurban,cudikilinc,mert09,CharlesTaylor,Kusaihana,senakicir,selahaddinh,denizonural,sinemete,hantuzun,SafaOzturk,cagdass,selinfildis,ansonbao,firatozbay}","{hintjens,piskvorky,hantuzun,cagdass,Kusaihana}","{""Jupyter Notebook"",Python,Matlab,Objective-C,C++,Java}",
ErdeBek                                 ,"{SafaOzturk,oguzbilgener,denizonural,ozymaxx,alierdogan7,alpernebbi,bkakilli,tugrulz}",{oguzbilgener},{JavaScript},
bikerglen                               ,"{fpga-logi-fam,SafaOzturk,anthonybalducci,naikrovek,saydo17,daemondazz,DanLipsitt,hzeller,marwell,ayseugure,DanSGiesbrecht}",,"{Arduino,Verilog,C++,None}",
Kafaraqgatri                            ,{SafaOzturk},{maverich},,
ecunal                                  ,"{onursenture,ertancan,milkers,suleymandiker,ekinoguz,gizemdemirel,yigitozen,oguzbilgener,batikanturkmen,caglar-ulker,rdiego26,hanziwang,saydere,alperenp,omerfarukz,mehmettahameral,mgwhitfield,cembasaranoglu,kaskavalci,onuryilmaz,gizemscetin}","{rakyll,ahmetalpbalkan,onursenture,ertancan,saydere,milkers,ynmehel,lucasr,ekinoguz,oguzbilgener,kaskavalci,onuryilmaz,Akdeniz,alperenp,gizemscetin}","{None,Go,C++,Java}",
kadircet                                ,"{oguzbilgener,esrefozturk,oguzhanunlu,hantuzun,characterx,ozymaxx,SevkiBekir,mmmeeedddsss,tkelestemur,acansag,kadircenk,Haknt,ozyinc,serdil,aligoren,xandras,baserkandehir,ultimatemehmet,muhsinal,Om3rCitak,cagdass,baharay,1zinnur9,bufferhe4d,hiorws,slm,muhammetardayildiz,omeripek,besimaltnok,retikulum,vivekpabani,Hayuce,ozelfatih,FatihDurmus,githubpersonel,firatozbay,trietptm,hmenn,camoufl4g3,batuhanyalcin,NeziheSozen,Y2P,nunonuni,muhammetdemirci,nurcanteke,kezder}","{oguzbilgener,hantuzun,esrefozturk}","{CMake,Tcl,PHP,C,Python,Matlab,Assembly,C++,Java}",
dkorkmazturk                            ,"{oguzbilgener,efeciftci,eozguc,ternsip,woxly}","{ras0ir,koush,seqizz,torvalds,althink,oguzbilgener,baDibere,efeciftci,puraks,ardaozkal,pFFed,omerace}","{None,Java}",
insomnium7                              ,"{fordream,RockZou,SnehaRane}","{pbhogan,rimbi,muharremtac,keijiro,h3nr1ke,mserdarsanli,achellies,Rubentxu,harism,hakimel,TheGer,Pjchardt,Murkantilism,bitbrain,PareshMayani,keklikhasan,guillaume-gouchon,Doswah,ragingRobot,oguzbilgener,emreaktrk,sametserpil,utkucan,ameropel,maggardJosh,ayalcinkaya,hinasakazaki,seckin92,nolanfilter,rbrt,matt-williams,tunitowen,rubeus90,TarasMatolinets,gabrielemariotti,vilbeyli,N3CAT1,paganini24,melihmucuk,kanilturgut,minhdao,selimcangir,breku,josuadas,zhengwangColder,WindChild,heboot,fsc88,salyangoz,aitorneos,orcuns,yilmazburk,RockZou,Kiki87,louffoster,emineeliftoscali,uchat,beichenming,akifhatipoglu,JadeByfield89,KerDelos,RuiZhuo,dgkanatsios,gnosy1590}",{Java},
